🇨🇳  央视频道,#genre#

CCTV-1,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226706/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-2,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226569/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-3,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226614/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-4,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226656/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-5,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226635/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-5+,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226609/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-6,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226637/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-7,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226678/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-8,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226687/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-9,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226726/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-10,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226528/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-11,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226546/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-12,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226560/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-13,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226543/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-14,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226572/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-15,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226590/index.m3u8?icpid=88888888&servicetype=3&playseek=
CCTV-16,http://116.77.38.138:44330/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-17,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226630/index.m3u8?icpid=88888888&servicetype=3&playseek=
北京卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226519/index.m3u8?icpid=88888888&servicetype=3&playseek=
天津卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226621/index.m3u8?icpid=88888888&servicetype=3&playseek=
深圳卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226700/index.m3u8?icpid=88888888&servicetype=3&playseek=
重庆卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226676/index.m3u8?icpid=88888888&servicetype=3&playseek=
东方卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226681/index.m3u8?icpid=88888888&servicetype=3&playseek=
江苏卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226722/index.m3u8?icpid=88888888&servicetype=3&playseek=
浙江卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226682/index.m3u8?icpid=88888888&servicetype=3&playseek=
辽宁卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226586/index.m3u8?icpid=88888888&servicetype=3&playseek=
吉林卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226684/index.m3u8?icpid=88888888&servicetype=3&playseek=
黑龙江卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226533/index.m3u8?icpid=88888888&servicetype=3&playseek=
河北卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226611/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226639/index.m3u8?icpid=88888888&servicetype=3&playseek=
山东卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226564/index.m3u8?icpid=88888888&servicetype=3&playseek="
山西卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226552/index.m3u8?icpid=88888888&servicetype=3&playseek=
安徽卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226578/index.m3u8?icpid=88888888&servicetype=3&playseek=
湖北卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226579/index.m3u8?icpid=88888888&servicetype=3&playseek=
湖南卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226659/index.m3u8?icpid=88888888&servicetype=3&playseek=
广东卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226525/index.m3u8?icpid=88888888&servicetype=3&playseek=
广西卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226540/index.m3u8?icpid=88888888&servicetype=3&playseek=
江西卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226594/index.m3u8?icpid=88888888&servicetype=3&playseek=
云南卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226660/index.m3u8?icpid=88888888&servicetype=3&playseek=
贵州卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226632/index.m3u8?icpid=88888888&servicetype=3&playseek=
四川卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226573/index.m3u8?icpid=88888888&servicetype=3&playseek=
陕西卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226591/index.m3u8?icpid=88888888&servicetype=3&playseek=
内蒙古卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226517/index.m3u8?icpid=88888888&servicetype=3&playseek=
宁夏卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226710/index.m3u8?icpid=88888888&servicetype=3&playseek=
甘肃卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226547/index.m3u8?icpid=88888888&servicetype=3&playseek=
青海卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226584/index.m3u8?icpid=88888888&servicetype=3&playseek=
东南卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226720/index.m3u8?icpid=88888888&servicetype=3&playseek=
海南卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226562/index.m3u8?icpid=88888888&servicetype=3&playseek=
新疆卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226657/index.m3u8?icpid=88888888&servicetype=3&playseek=
西藏卫视,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226669/index.m3u8?icpid=88888888&servicetype=3&playseek=



🐘 河南频道,#genre#

河南卫视4K,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226526/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南民生,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226685/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南都市,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226649/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南法治,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226724/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南电视剧,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226521/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南新闻,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226544/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南公共,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226566/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南乡村,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226576/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南乡村,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226576/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南梨园,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226438/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南移动,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226871/index.m3u8?icpid=88888888&servicetype=3&playseek=
武术世界,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226440/index.m3u8?icpid=88888888&servicetype=3&playseek=
文物宝库,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226447/index.m3u8?icpid=88888888&servicetype=3&playseek=
睛彩中原,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226445/index.m3u8?icpid=88888888&servicetype=3&playseek=
移动戏曲,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226436/index.m3u8?icpid=88888888&servicetype=3&playseek=
国学频道,http://iptv.cdn.ha.chinamobile.com/TVOD/88888888/224/3221226629/index.m3u8?icpid=88888888&servicetype=3&playseek=

河南卫视4K,http://222.85.69.6/TVOD/88888888/224/3221226954/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南卫视4K,http://222.85.69.6/TVOD/88888888/224/3221226751/10000100000000060000000001247788_0.smil/index.m3u8?fmt=ts2hls&servicetype=
河南民生,http://222.85.69.6/TVOD/88888888/224/3221226994/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南民生,http://222.85.69.6/TVOD/88888888/224/3221226406/10000100000000060000000000427509_0.smil/index.m3u8?fmt=ts2hls&servicetype=
河南都市,http://222.85.69.6/TVOD/88888888/224/3221226974/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南都市,http://222.85.69.6/TVOD/88888888/224/3221226403/10000100000000060000000000427507_0.smil/index.m3u8?fmt=ts2hls&servicetype=
河南法治,http://222.85.69.6/TVOD/88888888/224/3221226991/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南法治,http://222.85.69.6/TVOD/88888888/224/3221226409/10000100000000060000000000427515_0.smil/index.m3u8?fmt=ts2hls&servicetype=
河南公共,http://222.85.69.6/TVOD/88888888/224/3221226989/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南公共,http://222.85.69.6/TVOD/88888888/224/3221226562/10000100000000060000000000428997_0.smil/index.m3u8?fmt=ts2hls&servicetype=
河南新闻,http://222.85.69.6/TVOD/88888888/224/3221226997/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南新闻,http://222.85.69.6/TVOD/88888888/224/3221226415/10000100000000060000000000427594_0.smil/index.m3u8?fmt=ts2hls&servicetype=
河南国际,http://222.85.69.6/TVOD/88888888/224/3221227000/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南国际,http://222.85.69.6/TVOD/88888888/224/3221226635/10000100000000060000000000430975_0.smil/index.m3u8?fmt=ts2hls&servicetype=
河南电视剧,http://222.85.69.6/TVOD/88888888/224/3221226971/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南电视剧,http://222.85.69.6/TVOD/88888888/224/3221226412/10000100000000060000000000427558_0.smil/index.m3u8?fmt=ts2hls&servicetype=
河南乡村,http://222.85.69.6/TVOD/88888888/224/3221226986/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南乡村,http://222.85.69.6/TVOD/88888888/224/3221226632/10000100000000060000000000430974_0.smil/index.m3u8?fmt=ts2hls&servicetype=
河南梨园,http://222.85.69.6/TVOD/88888888/224/3221226996/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南梨园,http://222.85.69.6/TVOD/88888888/224/3221226544/10000100000000060000000000429017_0.smil/index.m3u8?fmt=ts2hls&servicetype=
武术世界,http://222.85.69.6/TVOD/88888888/224/3221227003/index.m3u8?icpid=88888888&servicetype=3&playseek=
武术世界,http://222.85.69.6/TVOD/88888888/224/3221226568/10000100000000060000000000429030_0.smil/index.m3u8?fmt=ts2hls&servicetype=
睛彩中原,http://222.85.69.6/TVOD/88888888/224/3221226993/index.m3u8?icpid=88888888&servicetype=3&playseek=
睛彩中原,http://222.85.69.6/TVOD/88888888/224/3221226668/10000100000000060000000000982550_0.smil/index.m3u8?fmt=ts2hls&servicetype=
移动戏曲,http://222.85.69.6/TVOD/88888888/224/3221226990/index.m3u8?icpid=88888888&servicetype=3&playseek=
移动戏曲,http://222.85.69.6/TVOD/88888888/224/3221226577/10000100000000060000000000489636_0.smil/index.m3u8?fmt=ts2hls&servicetype=
国学频道,http://222.85.69.6/TVOD/88888888/224/3221227090/index.m3u8?icpid=88888888&servicetype=3&playseek=
国学频道,http://222.85.69.6/TVOD/88888888/224/3221227059/10000100000000060000000001785209_0.smil/index.m3u8?fmt=ts2hls&servicetype=
文物宝库,http://222.85.69.6/TVOD/88888888/224/3221227005/index.m3u8?icpid=88888888&servicetype=3&playseek=
文物宝库,http://222.85.69.6/TVOD/88888888/224/3221226665/10000100000000060000000000982547_0.smil/index.m3u8?fmt=ts2hls&servicetype=
调解剧场,http://222.85.69.6/TVOD/88888888/224/3221226998/index.m3u8?icpid=88888888&servicetype=3&playseek=
调解剧场,http://222.85.69.6/TVOD/88888888/224/3221226638/10000100000000060000000000430976_0.smil/index.m3u8?fmt=ts2hls&servicetype=

河南新闻,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226439/1.m3u8
河南都市,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226430/1.m3u8
河南民生,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226433/1.m3u8
河南法治,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226435/1.m3u8
河南公共,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226441/1.m3u8
河南电视剧,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226437/1.m3u8
河南乡村,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226443/1.m3u8
河南戏曲,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226438/1.m3u8
中华功夫,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226440/1.m3u8
大美河南,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226434/1.m3u8
