🆗央视咪咕频道,#genre#

CCTV-01咪咕,http://j.s.bkpcp.top/jj/cctv1 
CCTV-02咪咕,http://j.s.bkpcp.top/jj/cctv2 
CCTV-03咪咕,http://j.s.bkpcp.top/jj/cctv3 
CCTV-04咪咕,http://j.s.bkpcp.top/jj/cctv4 
CCTV-05咪咕,http://j.s.bkpcp.top/jj/cctv5 
CCTV-5+咪咕,http://j.s.bkpcp.top/jj/cctv5p 
CCTV-06咪咕,http://j.s.bkpcp.top/jj/cctv6 
CCTV-07咪咕,http://j.s.bkpcp.top/jj/cctv7 
CCTV-08咪咕,http://j.s.bkpcp.top/jj/cctv8 
CCTV-09咪咕,http://j.s.bkpcp.top/jj/cctv9 
CCTV-10咪咕,http://j.s.bkpcp.top/jj/cctv10 
CCTV-11咪咕,http://j.s.bkpcp.top/jj/cctv11 
CCTV-12咪咕,http://j.s.bkpcp.top/jj/cctv12 
CCTV-13咪咕,http://j.s.bkpcp.top/jj/cctv13 
CCTV-14咪咕,http://j.s.bkpcp.top/jj/cctv14 
CCTV-15咪咕,http://j.s.bkpcp.top/jj/cctv15 
CCTV-16咪咕,http://j.s.bkpcp.top/jj/cctv16 
CCTV-17咪咕,http://j.s.bkpcp.top/jj/cctv17
北京卫视咪咕,http://j.s.bkpcp.top/jj/bjws 
东方卫视咪咕,http://j.s.bkpcp.top/jj/dfws 
浙江卫视咪咕,http://j.s.bkpcp.top/jj/zjws 
江苏卫视咪咕,http://j.s.bkpcp.top/jj/jsws 
湖南卫视咪咕,http://j.s.bkpcp.top/jj/hunws 
广东卫视咪咕,http://j.s.bkpcp.top/jj/gdws 
深圳卫视咪4k,http://j.s.bkpcp.top/jj/szws 
山东卫视咪咕,http://j.s.bkpcp.top/jj/sdws 
河南卫视咪咕,http://j.s.bkpcp.top/jj/hnws 
江西卫视咪咕,http://j.s.bkpcp.top/jj/jxws 
湖北卫视咪咕,http://j.s.bkpcp.top/jj/hubws 
海南卫视咪咕,http://j.s.bkpcp.top/jj/hinws 
陕西卫视咪咕,http://j.s.bkpcp.top/jj/sxws 
兵团卫视咪咕,http://j.s.bkpcp.top/jj/btws 
黑龙江视咪咕,http://j.s.bkpcp.top/jj/hljws

🆗郑州频道,#genre#

郑州综合1,http://39.135.168.8/wh7f454c46tw1234361980_-1003267351/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226404/1.m3u8
郑州商都2,http://39.135.168.9/wh7f454c46tw4117230365_1749980672/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226402/1.m3u8
 郑州文体旅游3,http://39.135.168.8/wh7f454c46tw2509661409_-755427158/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226407/1.m3u8
郑州豫剧4,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226405/1.m3u8
郑州豫剧4,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226405/1.m3u8
郑州妇女儿童5,http://39.135.168.9/wh7f454c46tw4117230365_1749980672/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226403/1.m3u8
郑州都市生活6,http://39.135.168.5/wh7f454c46tw3340178048_1229017135/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226400/1.m3u8

🆗河南频道,#genre#

河南都市,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226430/1.m3u8
河南民生,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226433/1.m3u8
 河南法治,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226435/1.m3u8
 河南公共,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226441/1.m3u8
河南电视剧,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226437/1.m3u8
 河南乡村,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226443/1.m3u8
河南戏曲,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226438/1.m3u8
 河南新闻,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226439/1.m3u8
大美河南,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226434/1.m3u8
移动戏曲,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226436/1.m3u8
 中华功夫,http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226440/1.m3u8
调解剧场, http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226444/1.m3u8
晴彩中原, http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226445/1.m3u8
收藏天下, http://39.135.168.8/wh7f454c46tw4262934444_1490919677/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226447/1.m3u8


河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南新闻,http://1.94.31.214/php/hntv.php?id=hnxw
河南都市,http://1.94.31.214/php/hntv.php?id=hnds
河南民生,http://1.94.31.214/php/hntv.php?id=hnms
河南公共,http://1.94.31.214/php/hntv.php?id=hngg
河南乡村,http://1.94.31.214/php/hntv.php?id=hnxc
河南梨园,http://1.94.31.214/php/hntv.php?id=hnly
河南法治,http://1.94.31.214/php/hntv.php?id=hmfz
河南电视剧,http://1.94.31.214/php/hntv.php?id=hndsj
武术世界,http://1.94.31.214/php/hntv.php?id=wspd
文物宝库,http://1.94.31.214/php/hntv.php?id=wwbk
睛彩中原,http://1.94.31.214/php/hntv.php?id=jczy
移动戏曲,http://1.94.31.214/php/hntv.php?id=ydxj
大象视界,http://1.94.31.214/php/hntv.php?id=xsj
欢腾购物,http://1.94.31.214/php/hntv.php?id=htgw

河南卫视,http://xxwx.yoesun.com/xxw/河南网.php?id=hnws
河南新闻,http://xxwx.yoesun.com/xxw/河南网.php?id=hnxw
河南都市,http://xxwx.yoesun.com/xxw/河南网.php?id=hnds
河南民生,http://xxwx.yoesun.com/xxw/河南网.php?id=hnms
河南公共,http://xxwx.yoesun.com/xxw/河南网.php?id=hngg
河南乡村,http://xxwx.yoesun.com/xxw/河南网.php?id=hnxc
河南梨园,http://xxwx.yoesun.com/xxw/河南网.php?id=hnly
河南法治,http://xxwx.yoesun.com/xxw/河南网.php?id=hmfz
河南电视剧,http://xxwx.yoesun.com/xxw/河南网.php?id=hndsj
武术世界,http://xxwx.yoesun.com/xxw/河南网.php?id=wspd
文物宝库,http://xxwx.yoesun.com/xxw/河南网.php?id=wwbk
睛彩中原,http://xxwx.yoesun.com/xxw/河南网.php?id=jczy
移动戏曲,http://xxwx.yoesun.com/xxw/河南网.php?id=ydxj
大象视界,http://xxwx.yoesun.com/xxw/河南网.php?id=xsj
欢腾购物,http://xxwx.yoesun.com/xxw/河南网.php?id=htgw

河南卫视,http://www.dsk.cc/hntv/hntv.php?id=hnws
河南新闻,http://www.dsk.cc/hntv/hntv.php?id=hnxw
河南都市,http://www.dsk.cc/hntv/hntv.php?id=hnds
河南民生,http://www.dsk.cc/hntv/hntv.php?id=hnms
河南公共,http://www.dsk.cc/hntv/hntv.php?id=hngg
河南乡村,http://www.dsk.cc/hntv/hntv.php?id=hnxc
河南梨园,http://www.dsk.cc/hntv/hntv.php?id=hnly
河南法治,http://www.dsk.cc/hntv/hntv.php?id=hmfz
河南电视剧,http://www.dsk.cc/hntv/hntv.php?id=hndsj
武术世界,http://www.dsk.cc/hntv/hntv.php?id=wspd
文物宝库,http://www.dsk.cc/hntv/hntv.php?id=wwbk
睛彩中原,http://www.dsk.cc/hntv/hntv.php?id=jczy
移动戏曲,http://www.dsk.cc/hntv/hntv.php?id=ydxj
大象视界,http://www.dsk.cc/hntv/hntv.php?id=xsj
欢腾购物,http://www.dsk.cc/hntv/hntv.php?id=htgw

🆗港澳台频道,#genre#

凤凰资讯,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzx.flv
凤凰香港,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhxg.flv
凤凰中文,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzw.flv
凤凰中文,http://s1.an94tv.cfd/aktv/CH-3/AKTV.m3u8
凤凰香港,http://s1.an94tv.cfd/aktv/CH-5/AKTV.m3u8
凤凰资讯,http://s1.an94tv.cfd/aktv/CH-4/AKTV.m3u8
香港卫视,ttp://zhibo.hkstv.tv/livestream/mutfysrq.flv
翡翠台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_jade.flv
翡翠台,http://s1.an94tv.cfd/aktv/CH-0/AKTV.m3u8
TVB翡剧,http://s1.an94tv.cfd/aktv/CH-18/AKTV.m3u8
黄金翡翠,http://s1.an94tv.cfd/aktv/CH-6/AKTV.m3u8
星光综合,http://push-rtmp-hs-spe-f5.douyincdn.com/live/zxcvbnm9852.flv
无线明珠台,http://s1.an94tv.cfd/aktv/CH-2/AKTV.m3u8
TVB星河,http://s1.an94tv.cfd/taiwan2/tvb/AKTV.m3u8
无线明剧,http://s1.an94tv.cfd/aktv/CH-19/AKTV.m3u8
TVB J1,http://s1.an94tv.cfd/aktv/CH-17/AKTV.m3u8
TVB plus,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_j2.flv
HOY78,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_hoy78.flv
RTHK,http://push-rtmp-hs-spe-f5.douyincdn.com/live/xaigjiaogehoy7801.flv
中天新闻,http://s1.an94tv.cfd/zhongtian/CH-0/AKTV.m3u8
无线新闻台,http://s1.an94tv.cfd/aktv/CH-1/AKTV.m3u8
pluc综合,http://s1.an94tv.cfd/aktv/CH-2/AKTV.m3u8
popc,http://s1.an94tv.cfd/aktv/popc/AKTV.m3u8
美亚电影台,http://s1.an94tv.cfd/aktv/hk/AKTV.m3u8
天映频道,http://s1.an94tv.cfd/aktv2/CH-3/AKTV.m3u8
天映经典,http://s1.an94tv.cfd/aktv/1080/AKTV.m3u8
TVBS,http://s1.an94tv.cfd/taiwan/tvbs/AKTV.m3u8
东森新闻,http://s1.an94tv.cfd/zhongtian/CH-1/AKTV.m3u8
东森洋片,http://s1.an94tv.cfd/aktv2/CH-2/AKTV.m3u8
好莱坞电影,http://s1.an94tv.cfd/aktv2/CH-1/AKTV.m3u8
民视,http://s1.an94tv.cfd/taiwan/CH-1/AKTV.m3u8
民视第一台,http://s1.an94tv.cfd/taiwan/CH-0/AKTV.m3u8
中天亚洲台,http://s1.an94tv.cfd/astro/CH-1/AKTV.m3u8
龙华日韩,http://s1.an94tv.cfd/taiwan/CH-5/AKTV.m3u8
八度空间,http://s1.an94tv.cfd/astro/8tv/AKTV.m3u8
靖天国际台,http://s1.an94tv.cfd/taiwan/CH-3/AKTV.m3u8
CNA新闻,http://s1.an94tv.cfd/aktv3/cna/AKTV.m3u8
AXN电影台,http://s1.an94tv.cfd/aktv/axn/AKTV.m3u8
纬来体育,http://s1.an94tv.cfd/aktv2/CH-0/AKTV.m3u8
星空音乐,http://iot-mqqt.111yao.cn:8080/live/diyp_channelv.m3u8?hls_ctx=r4i0j937
重温经典,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_cwjd.flv
凤凰电影,ttp://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8?hls_ctx=518z757k
 
🆗IPTV6,#genre#

CCTV1,http://[2409:8087:5e08:25::4]:6610/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=3$8M%20FHD
CCTV1,http://[2409:8087:5e08:25::4]:6610/000000001000/1000000001000021973/index.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=3$4M%20FHD
CCTV1,http://[2409:8087:5e08:25::4]:6610/000000001000/1000000005000265001/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3
